레벨1,레벨2,레벨3,레벨4,표준 단위,정답,정답이 포함된 공고사양 본문
운영 조건,선로 조건,궤간,,mm,1435,"궤간 : 1,435mm"
운영 조건,선로 조건,최소 곡선반경(기지),,m,125,최소곡선반경 : 125m
운영 조건,선로 조건,최대 구배,,‰,35,최대구배 : 35‰
운영 조건,선로 조건,최대 축중,,Tones,15,축당중량 : 15 ton 이하(만차중량 기준)
운영 조건,선로 조건,가선 전압,,,"AC 25kV
60㎐","3.3 전차선설비   
  이 차량의 운행계획노선의 전차선설비 기준은 다음과 같다.
  1) 공급전원 : AC 25kV, 60㎐
  2) 전압변동범위 : AC 19kV ～ AC 29kV"
운영 조건,운영 환경,최저 온도,,℃,-35,"3.1 기후조건
  1) 외 기 온 도 : -35℃ ～ +45℃"
운영 조건,운영 환경,최고 온도,,℃,45,1) 외 기 온 도 : -35℃ ～ +45℃
운영 조건,운영 환경,최고 습도,,%,100%,2) 상 대 습 도 : 5% ～ 100%
운영 조건,운영 환경,최대 강수량,,mm/Hour,120,3) 최대 강우량 : 120㎜/h(414㎜/day)
운영 조건,운영 환경,최대 강설량,,cm/Day,12.5,5) 최대 폭설량 : 12.5㎝/h(29.6㎝/day)
운영 조건,운영 환경,최대 풍속,,m/sec,"45(연속), 50(순간)","4) 최대 풍속도 : 45m/s(연속), 50m/s(순간)"
운영 조건,운영 환경,특수 환경조건,,,"혹한 상태에서의 동작조건
기타","3.1.1 혹한 상태에서의 동작조건
3.1.2 기타"
차량 성능,일반 성능,차량 편성,,,8량(6M2T),"3) 열차편성 단위  
   기본편성 : 8량(6M2T)"
차량 성능,일반 성능,편성 구조,,,"- Tc1+M‘1+M1+M2+Mm2+M3+M’3+Tc2
     - 특실+일반실+일반실(장애인)+일반실+일반실+일반실+일반실+일반실","3) 열차편성 단위  
   기본편성 : 8량(6M2T)
     - Tc1+M‘1+M1+M2+Mm2+M3+M’3+Tc2
     - 특실+일반실+일반실(장애인)+일반실+일반실+일반실+일반실+일반실"
차량 성능,일반 성능,중량 한계(W2),,Tones,466,"3) 만차중량(W2)
만차 중량은 신조차륜에서 466톤 이하여야 한다."
차량 성능,일반 성능,승객 정원,좌석,Persons,505,"4.3.3  정 원
   1편성당 좌석은 505석 이상으로 한다."
차량 성능,일반 성능,승객 정원,승객 하중,kg/Person,75,7) 차량에 탑승하는 평균승객 중량은 75㎏/인으로 한다.
차량 성능,추진 및 제동,최대 설계속도,,km/h,330,"4.3  차량특성
4.3.1 성 능 
  1) 운행최고속도 : 300㎞/h (설계최고속도 : 330㎞/h)"
차량 성능,추진 및 제동,최대 운행속도,,km/h,300,1) 운행최고속도 : 300㎞/h
차량 성능,추진 및 제동,가속도 조건,,m/s2,0 ～ 100㎞/h까지 평균 2.0㎞/h/s이상,2) 가속도 : 0 ～ 100㎞/h까지 평균 2.0㎞/h/s이상 (차륜경 820㎜ 기준)
차량 성능,추진 및 제동,비상 감속도,,m/s2,"300㎞/h에서 3,300m 이내
160㎞/h에서 1,000m 이내","4) 비상제동거리 : 300㎞/h에서 3,300m 이내, 160㎞/h에서 1,000m 이내"
차량 성능,추진 및 제동,져크 한계,,m/s3,0.5,5) 져크한계(Jerk Limitation) : 0.5 m/s³ 이하
차량 성능,RAMS,신뢰성,평균 영업장애 고장거리,Train-km,125000,"서비스고장간 평균거리(MKBSF)를 산출하여 125,000 Train-km를 달성하여야 하며,"
차량 성능,소음,주행중 외부소음 기준,속도,km/h,운행최고속도,"4.3.11.2  환경소음
  1) 차량 외부소음은 환경부고시(2013-76) ‘철도차량 소음권고기준 및 검사방법’에 따라 운행최고속도 주행 시 92㏈(A) 이하여야 한다."
차량 성능,소음,주행중 외부소음 기준,"수평, 수직거리","m, m",고속철도차량 기술기준,2) 소음 측정 및 평가방법은 ‘고속철도차량 기술기준’에 따른다.
차량 성능,소음,주행중 외부소음 기준,소음 기준,dBA,92,"4.3.11.2  환경소음
  1) 차량 외부소음은 환경부고시(2013-76) ‘철도차량 소음권고기준 및 검사방법’에 따라 운행최고속도 주행 시 92㏈(A) 이하여야 한다."
차체장치,연결기,조차 속도,,,10,"다) 반복적인 연결충격 하중에도 손상 없이 견디어야 하며, 제동이 체결되어 있는 동일형식의 철도차량과 10km/h로 연결기를 통하여 충돌한 경우 차체 및 연결기 등에 손상이 발생되지 않아야 한다."
의장설비,실외설비,통로연결막,소음차단 값(바닥),dB,35,"연결막은 열차 편성 조성이 용이하고 소음차단(음향투과손실: 35dB 이상)및 방수, 방풍, 열손실 방지효과가 우수한 구조로 설계되어야 하며 화염전파, 연기, 독성가스 발생이 최소화되는 재료를 사용하여야 한다."
전기장치,연결 점퍼,고압 점퍼,,,25,"1) 공급전원 : AC 25kV, 60㎐"
전기장치,연결 점퍼,고압 점퍼,케이블 사양,,25,"1) 공급전원 : AC 25kV, 60㎐"
